                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87848,                 3.0717,                 2.0717,                 1.3086,                      1,                0.06805,                0.58902,                0.38362,                      1,                0.06805,                0.56325,                0.35089,                0.90032,                 2.5013,                 3.1026,                 1.6472,                0.00042,                0.00042,                0.00042
                      2,                0.70009,                0.85807,                  1.215,                 1.1673,                0.32032,                0.44444,                0.29836,                0.17372,                0.29537,                0.36667,                0.26886,                0.13045,                 1.5413,                 6.2085,                 3.1076,                 2.1622,             0.00085915,             0.00085915,             0.00085915
                      3,                0.69856,                0.84765,                 1.1207,                 1.1544,                  0.412,                0.64444,                0.47333,                0.26081,                0.48955,                0.45556,                0.44052,                0.22367,                 1.1944,                 2.3651,                 2.9981,                 2.2752,              0.0012974,              0.0012974,              0.0012974
                      4,                0.71373,                0.80799,                 1.0533,                 1.1529,                0.38211,                0.32222,                0.29673,                0.12422,                0.36893,                0.31111,                0.27008,                0.11169,                 2.2147,                 3.2008,                 3.7378,                 3.2785,              0.0017348,              0.0017348,              0.0017348
                      5,                0.71125,                0.75808,                0.96373,                 1.1639,                0.26177,                 0.5437,                 0.2655,                 0.1051,                0.25581,                0.54236,                0.23168,                0.08878,                   1.93,                 2.9932,                 2.5536,                 2.9011,              0.0019921,              0.0019921,              0.0019921
                      6,                0.73532,                 0.8098,                0.90249,                 1.1949,                0.39624,                0.44444,                0.37752,                0.18524,                0.41993,                0.46667,                0.39568,                0.18766,                 1.7484,                 1.5841,                 2.4064,                   2.31,              0.0019921,              0.0019921,              0.0019921
                      7,                0.72681,                0.73663,                0.87055,                 1.1678,                0.47813,                0.65556,                0.50057,                 0.3272,                0.47813,                0.65556,                0.49935,                0.32371,                0.99529,                  1.011,                 1.7169,                 1.7584,              0.0019901,              0.0019901,              0.0019901
                      8,                0.67237,                0.73991,                0.80722,                 1.1421,                0.44233,                0.53763,                0.45354,                0.17532,                0.43319,                0.52652,                0.43602,                0.18573,                 2.1797,                 1.3236,                 2.3267,                 3.1349,              0.0019881,              0.0019881,              0.0019881
                      9,                0.65695,                0.69018,                0.78891,                 1.1244,                0.77684,                0.78889,                0.76409,                0.58432,                0.77684,                0.78889,                0.75908,                0.56836,                0.94156,                 1.2427,                 1.3071,                 1.6085,              0.0019861,              0.0019861,              0.0019861
                     10,                0.67252,                0.85165,                0.81442,                 1.1488,                0.50247,                0.63333,                0.53798,                0.30439,                 0.5122,                0.64444,                0.55035,                0.31066,                 1.5634,                 1.0439,                 1.8852,                 2.1433,              0.0019842,              0.0019842,              0.0019842
                     11,                0.65186,                0.82462,                0.74266,                 1.1203,                0.75402,                0.74444,                0.78195,                0.46663,                0.74637,                0.75206,                0.75986,                0.47001,                 1.0939,                 1.1798,                  1.384,                 1.8342,              0.0019822,              0.0019822,              0.0019822
                     12,                0.64196,                0.81522,                0.74156,                 1.1295,                0.54715,                0.80551,                0.63125,                 0.3597,                0.55425,                0.81515,                0.64206,                0.37461,                 1.5234,                0.91147,                 1.6604,                  2.111,              0.0019802,              0.0019802,              0.0019802
                     13,                 0.6535,                0.80622,                0.71818,                 1.1155,                0.42768,                0.58889,                0.52728,                0.27208,                0.44558,                    0.6,                0.52207,                 0.2862,                 1.6315,                0.97569,                 1.7113,                 2.2192,              0.0019782,              0.0019782,              0.0019782
                     14,                0.61091,                0.73374,                0.67977,                 1.0863,                0.66072,                 0.8006,                0.69646,                0.38864,                0.65155,                0.78949,                0.66733,                0.36093,                 1.4375,                 1.9493,                 1.4291,                 2.1688,              0.0019762,              0.0019762,              0.0019762
                     15,                0.62078,                0.72155,                0.66379,                  1.109,                0.80803,                0.78889,                0.87387,                0.59042,                0.79665,                0.77778,                 0.8533,                0.60859,                0.91722,                0.88325,                 1.0689,                 1.5981,              0.0019743,              0.0019743,              0.0019743
                     16,                0.56432,                0.67987,                0.62385,                 1.0663,                0.72031,                0.85846,                0.81367,                0.57609,                0.72031,                0.85846,                0.81433,                0.60184,                0.92185,                0.69599,                 1.2086,                 1.5596,              0.0019723,              0.0019723,              0.0019723
                     17,                0.56448,                0.66583,                0.64134,                  1.079,                0.87064,                0.91111,                 0.9388,                 0.7567,                0.87064,                0.91111,                0.93524,                0.78444,                0.65153,                0.64193,                0.78532,                 1.3297,              0.0019703,              0.0019703,              0.0019703
                     18,                0.58675,                0.66049,                0.62662,                 1.0735,                0.61448,                0.74444,                0.70469,                0.49584,                0.61525,                0.75556,                0.69545,                0.50071,                 1.0607,                 1.1777,                 1.1996,                 1.6388,              0.0019683,              0.0019683,              0.0019683
                     19,                0.56852,                0.63554,                0.61187,                 1.0645,                0.61833,                0.79206,                0.78409,                0.48472,                0.61768,                    0.8,                0.77897,                0.49282,                 1.0931,                 1.0613,                 1.4389,                 1.7449,              0.0019663,              0.0019663,              0.0019663
                     20,                0.55332,                0.57089,                0.57214,                 1.0613,                0.57654,                0.62222,                0.66306,                0.47596,                0.57654,                0.62222,                0.66306,                0.48519,                0.88803,                0.62782,                 1.3875,                 1.5192,              0.0019644,              0.0019644,              0.0019644
                     21,                 0.5664,                0.62004,                0.59126,                 1.0558,                0.76546,                0.73333,                 0.8165,                0.57256,                0.75386,                0.72222,                0.80312,                0.60284,                0.92188,                0.93717,                   1.36,                 1.6178,              0.0019624,              0.0019624,              0.0019624
                     22,                0.56008,                0.65272,                0.58006,                 1.0453,                0.87753,                0.95534,                0.94232,                0.74754,                0.87753,                0.95534,                0.93983,                0.76819,                0.73024,                0.62858,                0.92551,                 1.4722,              0.0019604,              0.0019604,              0.0019604
                     23,                0.56402,                0.64365,                0.59001,                 1.0583,                0.89176,                 0.8239,                0.89786,                0.68898,                0.90635,                0.86031,                0.90608,                  0.693,                0.79644,                 1.8467,                0.86534,                 1.4659,              0.0019584,              0.0019584,              0.0019584
                     24,                0.54032,                0.61931,                0.54442,                 1.0413,                0.60497,                0.81111,                 0.7532,                0.57608,                0.62762,                0.88019,                 0.7914,                0.58327,                0.86709,                0.77375,                 1.1441,                 1.5226,              0.0019564,              0.0019564,              0.0019564
                     25,                0.53527,                0.61867,                0.55776,                  1.043,                0.80048,                0.75783,                0.87428,                0.63343,                0.80048,                0.75783,                0.87428,                0.67124,                0.92589,                0.59037,                 1.0537,                 1.5067,              0.0019545,              0.0019545,              0.0019545
                     26,                0.53562,                 0.6458,                 0.5601,                 1.0415,                0.76105,                0.88475,                0.89732,                0.73815,                0.76105,                0.88475,                0.89734,                0.76516,                0.62415,                0.56288,                0.80208,                 1.2801,              0.0019525,              0.0019525,              0.0019525
                     27,                0.50634,                0.62656,                0.53428,                 1.0308,                 0.7887,                0.86667,                0.91457,                0.67453,                0.85177,                0.78889,                0.90234,                0.66259,                0.92066,                 1.0211,                 1.1329,                 1.6931,              0.0019505,              0.0019505,              0.0019505
                     28,                0.54944,                0.61393,                0.56774,                 1.0452,                0.83263,                0.77389,                0.87312,                0.69369,                0.84488,                0.78677,                0.88936,                0.70372,                0.67769,                0.65355,                0.99549,                 1.3099,              0.0019485,              0.0019485,              0.0019485
                     29,                0.51349,                0.54804,                 0.5207,                 1.0348,                0.72869,                0.88889,                0.86016,                0.64854,                0.72869,                0.88889,                0.86437,                0.65758,                0.73386,                0.55348,                 1.0834,                 1.4047,              0.0019465,              0.0019465,              0.0019465
                     30,                0.49786,                0.56972,                 0.5204,                 1.0319,                0.71924,                 0.6547,                0.74667,                0.59477,                0.70704,                0.64359,                0.72337,                0.53262,                0.72986,                  1.935,                  1.099,                 1.3725,              0.0019446,              0.0019446,              0.0019446
                     31,                0.51845,                 0.6225,                0.53135,                 1.0302,                0.87529,                0.95556,                0.95786,                0.74134,                0.87529,                0.95556,                0.95786,                0.76204,                 0.6899,                0.52536,                0.84305,                 1.4564,              0.0019426,              0.0019426,              0.0019426
                     32,                0.48225,                 0.5784,                0.50222,                  1.002,                0.64766,                0.68889,                 0.7118,                0.55724,                0.65669,                0.65556,                0.68615,                0.46586,                0.78547,                 2.2319,                 1.2091,                 1.5145,              0.0019406,              0.0019406,              0.0019406
                     33,                0.50998,                0.61127,                0.51094,                 1.0249,                0.86236,                0.82222,                0.90608,                 0.6543,                0.83906,                    0.8,                0.86842,                0.67326,                0.75079,                0.87892,                 1.1125,                 1.3932,              0.0019386,              0.0019386,              0.0019386
                     34,                0.48669,                0.54593,                0.46662,                 1.0148,                0.86311,                0.78889,                0.86204,                  0.644,                0.82438,                    0.8,                 0.8889,                0.67339,                0.88697,                0.62682,                 1.0976,                 1.5009,              0.0019366,              0.0019366,              0.0019366
                     35,                0.51468,                0.58607,                0.51224,                 1.0303,                0.78587,                0.93333,                0.89845,                0.70321,                0.78587,                0.93333,                0.89845,                0.72157,                0.70203,                0.51934,                0.87749,                 1.3294,              0.0019347,              0.0019347,              0.0019347
                     36,                0.48494,                0.54487,                0.49911,                 1.0059,                0.80715,                0.83709,                0.87473,                0.71759,                0.80715,                0.83709,                0.87473,                0.74785,                 0.5768,                0.73263,                0.87592,                  1.234,              0.0019327,              0.0019327,              0.0019327
                     37,                 0.4906,                 0.6236,                0.48786,                 1.0192,                0.74099,                0.87778,                0.84715,                0.65715,                0.75118,                0.88889,                0.86124,                0.64115,                0.64896,                 1.0081,                 1.0269,                  1.267,              0.0019307,              0.0019307,              0.0019307
                     38,                0.48123,                0.57631,                0.48521,                   1.01,                0.83458,                0.86667,                0.91718,                0.76797,                0.86728,                0.84444,                0.92831,                0.80973,                0.55302,                0.51223,                0.64546,                  1.197,              0.0019287,              0.0019287,              0.0019287
                     39,                0.48476,                 0.5819,                0.50465,                 1.0099,                0.89271,                0.73968,                0.88447,                0.73998,                0.89271,                0.73968,                0.88447,                0.77462,                0.56633,                0.52067,                0.82804,                 1.2512,              0.0019267,              0.0019267,              0.0019267
                     40,                0.49009,                0.57889,                0.48993,                 1.0148,                 0.9211,                0.88889,                0.96201,                0.80703,                 0.9211,                0.88889,                0.96201,                0.85175,                0.59901,                0.61467,                0.62308,                 1.2534,              0.0019248,              0.0019248,              0.0019248
                     41,                0.50068,                0.57133,                0.49389,                 1.0121,                 0.7796,                0.83333,                0.85444,                0.66054,                   0.79,                0.84444,                0.88083,                 0.6896,                 0.7291,                0.62585,                0.91116,                 1.3628,              0.0019228,              0.0019228,              0.0019228
                     42,                0.50498,                0.55684,                0.51494,                 1.0158,                0.90837,                0.91111,                0.90613,                0.70959,                0.92867,                0.93333,                0.93827,                0.74014,                0.79905,                0.51602,                0.69878,                 1.4807,              0.0019208,              0.0019208,              0.0019208
                     43,                0.48146,                0.55452,                0.48827,                 1.0098,                0.71662,                0.92726,                0.86009,                0.65967,                0.71662,                0.92726,                0.86009,                0.66061,                0.62137,                0.63608,                 1.1143,                 1.2879,              0.0019188,              0.0019188,              0.0019188
                     44,                0.48025,                0.56443,                0.46402,                 1.0189,                 0.9049,                0.81111,                0.91057,                 0.7563,                 0.9049,                0.81111,                0.89655,                0.75747,                0.64354,                0.99314,                0.93988,                 1.2906,              0.0019168,              0.0019168,              0.0019168
                     45,                0.48863,                0.55478,                0.47879,                 1.0143,                0.86942,                0.88889,                0.92519,                0.75818,                0.86942,                0.88889,                0.93132,                0.76587,                0.61794,                0.63162,                0.99335,                 1.2497,              0.0019149,              0.0019149,              0.0019149
                     46,                0.46426,                0.53961,                0.43361,                0.99779,                0.78664,                0.91111,                0.90448,                0.75916,                0.79623,                0.92222,                0.91713,                0.76986,                0.59938,                0.61506,                0.87597,                 1.2701,              0.0019129,              0.0019129,              0.0019129
                     47,                0.47055,                0.52788,                0.44293,                 1.0033,                0.77763,                0.93333,                 0.8779,                0.71105,                0.78634,                0.93333,                0.89001,                0.71985,                0.64385,                 0.5657,                0.79362,                 1.3232,              0.0019109,              0.0019109,              0.0019109
                     48,                0.44587,                0.48708,                0.41813,                0.98082,                0.89378,                0.94444,                0.94653,                0.84514,                0.90439,                0.95556,                 0.9577,                0.86458,                0.52583,                0.48222,                0.60477,                 1.1555,              0.0019089,              0.0019089,              0.0019089
                     49,                0.46986,                0.52319,                0.44962,                0.98794,                0.80176,                0.82222,                0.85554,                0.70196,                0.80176,                0.82222,                 0.8549,                0.70212,                0.64011,                 1.1797,                0.96925,                 1.3395,              0.0019069,              0.0019069,              0.0019069
                     50,                0.45761,                0.51359,                0.46189,                0.99781,                 0.7482,                0.89142,                0.89148,                0.73348,                0.77173,                0.88889,                0.89591,                0.76025,                0.70517,                0.42708,                0.76618,                 1.3073,               0.001905,               0.001905,               0.001905
                     51,                0.46848,                0.58943,                0.45495,                 1.0025,                 0.8207,                    0.8,                0.83486,                0.67346,                0.83049,                0.82222,                0.86019,                0.68812,                0.68068,                  0.537,                 1.0129,                 1.3822,               0.001903,               0.001903,               0.001903
                     52,                 0.4896,                0.56926,                0.47688,                 1.0148,                0.82805,                0.84444,                0.91047,                0.74587,                0.83895,                0.85556,                0.92768,                0.75264,                0.64699,                0.54432,                0.77868,                 1.3362,               0.001901,               0.001901,               0.001901
                     53,                0.47401,                0.55696,                0.45023,                0.99642,                0.81021,                    0.9,                0.91511,                0.76584,                0.81021,                    0.9,                0.91511,                0.78773,                0.58541,                0.50941,                0.81757,                 1.2371,               0.001899,               0.001899,               0.001899
                     54,                0.47278,                0.56368,                0.46241,                 1.0025,                0.58071,                0.91111,                0.76593,                0.56825,                0.61775,                0.86195,                0.77592,                0.59024,                0.77596,                0.61383,                 1.0835,                 1.4341,               0.001897,               0.001897,               0.001897
                     55,                0.46858,                 0.5691,                0.45576,                0.99245,                0.68617,                0.88889,                0.85428,                  0.672,                0.69475,                    0.9,                0.86039,                0.68827,                0.65852,                0.56278,                0.79528,                 1.3013,              0.0018951,              0.0018951,              0.0018951
                     56,                0.45844,                0.57886,                0.45178,                 1.0046,                0.75858,                0.92222,                0.92241,                0.80554,                0.76772,                0.93333,                0.92804,                0.80431,                0.48608,                0.49802,                0.68722,                 1.1274,              0.0018931,              0.0018931,              0.0018931
                     57,                0.45149,                0.52994,                0.42363,                 1.0034,                 0.8344,                0.93333,                0.95274,                0.83894,                 0.8344,                0.93333,                0.95274,                0.87161,                0.47819,                0.44169,                0.54299,                 1.1213,              0.0018911,              0.0018911,              0.0018911
                     58,                0.47444,                0.55796,                0.43566,                0.99491,                0.85977,                0.88563,                0.92317,                0.76993,                0.85977,                0.88563,                0.92317,                0.79657,                0.62371,                0.56749,                0.80005,                 1.2753,              0.0018891,              0.0018891,              0.0018891
                     59,                0.47004,                0.54813,                0.43799,                0.99515,                 0.6962,                0.83333,                0.78749,                0.62259,                 0.6962,                0.83333,                0.78749,                0.63402,                0.62754,                0.64076,                 1.0022,                 1.1978,              0.0018871,              0.0018871,              0.0018871
                     60,                0.46005,                0.56621,                0.44649,                0.98686,                0.86254,                0.91111,                0.91682,                  0.732,                0.87306,                0.92222,                0.92732,                0.75071,                0.61863,                0.52569,                0.79638,                 1.2482,              0.0018852,              0.0018852,              0.0018852
                     61,                0.45687,                0.51158,                0.43782,                0.98623,                0.88471,                0.94444,                0.95325,                0.79594,                0.88471,                0.94444,                0.95325,                0.81671,                0.59254,                0.54491,                0.71211,                 1.2272,              0.0018832,              0.0018832,              0.0018832
                     62,                0.46816,                0.51651,                0.42669,                 0.9986,                0.82005,                0.88889,                0.88713,                0.71443,                0.82005,                0.88889,                0.88937,                0.73682,                 0.6745,                0.49102,                0.87754,                 1.4155,              0.0018812,              0.0018812,              0.0018812
                     63,                0.43154,                0.47843,                  0.429,                 0.9893,                0.89641,                0.93333,                0.95799,                0.81542,                0.90732,                0.94444,                0.96321,                0.82828,                0.50481,                0.48681,                0.59426,                 1.1513,              0.0018792,              0.0018792,              0.0018792
                     64,                0.41977,                 0.4763,                 0.3917,                0.97061,                0.92473,                0.95554,                0.96686,                0.84029,                0.92473,                0.95554,                0.96686,                0.86422,                0.47961,                0.40186,                0.58917,                 1.1393,              0.0018772,              0.0018772,              0.0018772
                     65,                0.43956,                0.49476,                 0.3948,                0.97175,                0.86835,                0.87946,                0.91887,                0.81628,                0.90151,                0.91533,                0.95064,                0.85293,                0.49005,                0.43085,                0.72865,                 1.1146,              0.0018753,              0.0018753,              0.0018753
                     66,                0.44607,                0.49088,                0.44596,                0.98019,                0.85887,                0.87908,                0.91098,                 0.7663,                0.85887,                0.87908,                0.90612,                0.79614,                0.60181,                0.46499,                0.74953,                 1.3253,              0.0018733,              0.0018733,              0.0018733
                     67,                0.45197,                0.48792,                0.41814,                0.98522,                 0.9064,                0.87778,                0.91716,                0.76063,                0.92551,                0.82832,                0.90704,                0.77764,                0.62107,                0.45968,                0.86965,                 1.2478,              0.0018713,              0.0018713,              0.0018713
                     68,                 0.4464,                0.47563,                0.41695,                0.99781,                0.84558,                    0.8,                0.84618,                0.70122,                0.82792,                0.80192,                0.84984,                0.71339,                0.58919,                0.72471,                0.91602,                 1.2368,              0.0018693,              0.0018693,              0.0018693
                     69,                0.44746,                0.51384,                0.43055,                0.98971,                0.84814,                0.87778,                0.94927,                0.81813,                0.85611,                0.88889,                 0.9529,                0.83673,                0.51681,                0.53222,                0.63805,                 1.1425,              0.0018673,              0.0018673,              0.0018673
                     70,                0.43745,                  0.496,                0.42899,                0.97859,                0.80654,                0.83382,                0.91089,                0.77551,                0.81721,                0.84448,                0.92065,                0.79907,                0.58666,                0.49096,                 0.8186,                 1.2087,              0.0018654,              0.0018654,              0.0018654
                     71,                 0.4357,                0.48217,                0.41145,                0.97485,                0.86742,                0.94444,                0.96665,                0.85961,                0.87763,                0.95556,                0.97363,                0.89759,                0.43036,                 0.3838,                0.55508,                 1.0436,              0.0018634,              0.0018634,              0.0018634
                     72,                0.44811,                0.49448,                0.41533,                0.97935,                0.82652,                0.89996,                0.92398,                0.80626,                0.82652,                0.89996,                0.92398,                0.82112,                0.50072,                0.43212,                0.60455,                 1.1438,              0.0018614,              0.0018614,              0.0018614
                     73,                0.43218,                0.48138,                 0.3987,                0.97909,                0.76974,                0.88889,                 0.9222,                0.78527,                0.76974,                0.88889,                 0.9222,                0.79631,                0.49934,                 0.4929,                0.74626,                 1.1659,              0.0018594,              0.0018594,              0.0018594
                     74,                0.41729,                0.45342,                0.41104,                0.96793,                0.79259,                0.83333,                0.84639,                0.64936,                0.80316,                0.84444,                 0.8473,                0.66641,                0.66247,                0.69343,                 1.0399,                 1.3367,              0.0018574,              0.0018574,              0.0018574
                     75,                0.45239,                0.48182,                0.43733,                0.98623,                0.90935,                0.93333,                0.96765,                0.82301,                0.90935,                0.93333,                0.96765,                0.84971,                0.50454,                0.47304,                  0.625,                 1.1519,              0.0018555,              0.0018555,              0.0018555
                     76,                0.43129,                0.46865,                0.41618,                0.97141,                0.88486,                0.93933,                 0.9551,                0.84312,                0.88486,                0.93933,                 0.9551,                0.86893,                0.45784,                0.47732,                0.53511,                 1.1175,              0.0018535,              0.0018535,              0.0018535
                     77,                 0.4253,                0.43779,                0.40841,                0.96744,                0.95805,                0.88889,                0.94596,                0.84655,                0.95805,                0.88889,                0.94596,                0.88128,                0.44639,                0.37871,                0.59578,                 1.1036,              0.0018515,              0.0018515,              0.0018515
                     78,                0.41141,                0.47208,                0.37672,                0.96463,                0.78822,                0.91111,                0.91108,                  0.777,                0.79783,                0.92222,                0.91636,                0.80146,                0.51265,                0.40539,                0.64955,                 1.1202,              0.0018495,              0.0018495,              0.0018495
                     79,                0.42051,                 0.4826,                0.38655,                0.97316,                0.78729,                    0.9,                0.91924,                 0.8103,                 0.8166,                    0.9,                0.92345,                0.82005,                0.44648,                0.44512,                0.67484,                 1.0704,              0.0018475,              0.0018475,              0.0018475
                     80,                 0.4126,                0.43892,                0.39039,                0.97583,                0.89944,                0.89446,                0.94626,                0.86025,                0.89944,                0.89446,                0.94843,                0.88924,                 0.4671,                0.40539,                0.54939,                 1.0984,              0.0018456,              0.0018456,              0.0018456
                     81,                0.43189,                0.45818,                0.39963,                0.96657,                0.91496,                0.83687,                0.91998,                0.78639,                0.91496,                0.83687,                0.91998,                0.82782,                0.57159,                0.54119,                0.69573,                 1.2235,              0.0018436,              0.0018436,              0.0018436
                     82,                0.43043,                0.48996,                0.39913,                0.96797,                0.71813,                0.93417,                0.87604,                0.71554,                0.72667,                0.94528,                0.89578,                0.72641,                0.61061,                0.56047,                0.90548,                 1.1896,              0.0018416,              0.0018416,              0.0018416
                     83,                0.43978,                0.50139,                0.41463,                0.97315,                0.78034,                0.86667,                0.88928,                0.70473,                0.79439,                0.87778,                0.89771,                0.74952,                0.59374,                0.43838,                 0.9819,                 1.2374,              0.0018396,              0.0018396,              0.0018396
                     84,                0.45246,                0.53546,                0.43181,                0.99087,                0.92245,                0.92514,                 0.9677,                 0.8222,                0.92245,                0.92514,                 0.9677,                0.85187,                0.53365,                0.40218,                 0.6058,                 1.1764,              0.0018376,              0.0018376,              0.0018376
                     85,                0.42242,                0.46673,                0.38326,                0.96538,                0.95052,                0.85375,                0.95172,                0.81614,                 0.9511,                0.86455,                0.95102,                0.84973,                0.50216,                0.42876,                0.71708,                 1.1529,              0.0018357,              0.0018357,              0.0018357
                     86,                0.40237,                 0.4728,                0.38956,                0.96349,                 0.8505,                0.88497,                0.93272,                0.76637,                0.86087,                 0.8938,                0.93661,                0.77946,                0.61637,                0.47369,                0.80518,                 1.2588,              0.0018337,              0.0018337,              0.0018337
                     87,                0.41796,                0.48131,                0.38366,                0.96599,                0.86088,                0.96258,                0.95656,                0.85399,                0.86088,                0.96258,                0.95656,                0.86752,                0.47465,                0.33519,                0.65447,                 1.0787,              0.0018317,              0.0018317,              0.0018317
                     88,                0.41751,                0.46095,                0.38586,                0.96589,                  0.864,                0.94444,                0.90711,                0.79126,                  0.864,                0.94444,                0.90711,                0.81145,                 0.4555,                0.42514,                0.75467,                 1.0897,              0.0018297,              0.0018297,              0.0018297
                     89,                0.39709,                0.41189,                0.37336,                0.96345,                0.81875,                0.95366,                0.93636,                0.82818,                0.81875,                0.95366,                0.93636,                0.83681,                0.47463,                 0.3839,                0.66501,                 1.1004,              0.0018277,              0.0018277,              0.0018277
                     90,                0.40706,                0.43699,                0.38611,                0.96597,                0.90094,                0.87778,                0.94686,                0.84199,                0.92375,                    0.9,                0.96428,                0.86737,                0.46974,                0.41671,                0.55392,                 1.1158,              0.0018258,              0.0018258,              0.0018258
                     91,                0.41032,                0.43643,                0.38682,                0.97007,                0.84113,                0.94123,                 0.9585,                0.84173,                0.84113,                0.94123,                 0.9585,                 0.8742,                0.51097,                0.35357,                0.56292,                 1.1354,              0.0018238,              0.0018238,              0.0018238
                     92,                0.40548,                0.47133,                 0.3588,                0.96029,                0.79172,                0.92922,                0.92768,                  0.824,                0.79172,                0.92922,                0.92768,                0.84341,                0.41405,                0.41093,                0.62657,                 1.0438,              0.0018218,              0.0018218,              0.0018218
                     93,                0.38763,                0.41427,                 0.3577,                 0.9588,                0.87914,                0.96988,                0.97521,                0.86897,                0.87914,                0.96988,                0.97521,                0.89095,                0.44977,                0.56515,                0.51155,                 1.0833,              0.0018198,              0.0018198,              0.0018198
                     94,                0.41357,                0.48843,                0.37143,                0.96197,                0.76195,                0.96027,                0.91868,                 0.8065,                 0.7625,                0.97778,                0.91987,                  0.838,                0.50917,                0.48254,                0.61533,                 1.1562,              0.0018178,              0.0018178,              0.0018178
                     95,                0.41614,                0.46363,                0.39538,                0.96297,                0.79987,                0.97701,                0.93191,                0.81829,                0.79987,                0.97701,                0.93418,                0.82981,                0.50589,                0.53751,                0.65447,                 1.1367,              0.0018159,              0.0018159,              0.0018159
                     96,                0.42287,                 0.4772,                0.37257,                0.95956,                0.85362,                0.98889,                  0.959,                0.80406,                0.84403,                0.97778,                0.94979,                0.82824,                0.54295,                0.52755,                 0.6337,                 1.1966,              0.0018139,              0.0018139,              0.0018139
                     97,                0.41396,                0.44632,                0.37445,                0.97219,                0.86935,                0.91111,                0.92923,                0.78133,                0.86935,                0.91111,                0.92923,                0.79003,                0.57272,                0.48965,                0.63094,                 1.2347,              0.0018119,              0.0018119,              0.0018119
                     98,                0.40497,                0.44032,                 0.3727,                0.95942,                 0.9191,                0.88362,                0.96632,                0.83896,                 0.9191,                0.88362,                0.96632,                0.87723,                 0.4981,                0.46045,                0.55144,                 1.1559,              0.0018099,              0.0018099,              0.0018099
                     99,                0.38971,                0.38698,                0.37126,                0.96751,                0.84886,                0.93333,                0.94542,                0.85612,                0.84886,                0.93333,                0.94542,                0.86362,                0.46641,                0.43258,                0.58355,                 1.1187,              0.0018079,              0.0018079,              0.0018079
                    100,                0.39029,                0.40122,                0.36502,                0.95348,                 0.9018,                0.91837,                0.95901,                0.88358,                0.91271,                0.92948,                0.96104,                 0.8989,                 0.4199,                0.42003,                0.53581,                 1.0499,               0.001806,               0.001806,               0.001806
                    101,                0.40286,                0.46278,                0.37413,                 0.9727,                0.93538,                0.96507,                0.97359,                 0.9034,                0.93538,                0.96507,                0.97359,                0.90441,                0.40193,                0.46523,                0.41073,                 1.0093,               0.001804,               0.001804,               0.001804
                    102,                0.40582,                0.49298,                0.37733,                0.96258,                0.91001,                0.85556,                0.92703,                0.81425,                0.89791,                0.84444,                0.90165,                0.74783,                0.49801,                  2.018,                0.61036,                  1.148,               0.001802,               0.001802,               0.001802
                    103,                0.42068,                0.48008,                0.37881,                 0.9773,                0.74661,                0.94943,                0.87664,                0.73611,                0.74666,                0.91111,                0.87473,                0.72156,                0.57589,                 1.0047,                 0.8934,                 1.2034,                 0.0018,                 0.0018,                 0.0018
                    104,                0.42334,                 0.4909,                0.37582,                0.98091,                0.87759,                0.96667,                0.95546,                0.87075,                0.87759,                0.96667,                0.95962,                0.88303,                0.44568,                0.37158,                  0.677,                 1.0708,               0.001798,               0.001798,               0.001798
                    105,                0.40138,                0.42927,                0.37349,                0.96633,                0.90625,                0.86667,                0.92571,                0.80427,                0.90625,                0.86667,                0.91469,                0.75763,                0.56404,                 1.6778,                0.73588,                 1.1715,              0.0017961,              0.0017961,              0.0017961
                    106,                 0.4195,                0.47482,                0.36441,                0.96716,                0.95309,                0.90308,                0.95896,                0.84951,                0.95309,                0.90308,                0.95896,                0.88393,                 0.4656,                0.34057,                0.60105,                  1.059,              0.0017941,              0.0017941,              0.0017941
                    107,                0.40904,                0.46033,                0.36628,                 0.9663,                0.90687,                    0.9,                0.95433,                 0.8554,                0.87997,                0.92222,                0.94538,                0.86403,                0.48817,                0.38123,                0.68504,                  1.113,              0.0017921,              0.0017921,              0.0017921
                    108,                0.40895,                0.42864,                0.36298,                0.96343,                 0.8893,                0.88889,                0.95799,                0.86058,                0.87067,                0.92222,                0.95971,                0.88187,                0.44481,                0.37849,                0.56254,                 1.0435,              0.0017901,              0.0017901,              0.0017901
                    109,                0.42433,                0.44487,                  0.373,                0.97754,                0.90919,                0.88998,                0.96137,                0.87078,                0.90919,                0.88998,                0.96137,                0.89571,                0.44797,                0.38345,                0.51135,                 1.0474,              0.0017881,              0.0017881,              0.0017881
