                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9885,                  3.044,                 2.2354,                0.00333,                      1,                0.09246,                0.02103,                 1.5939,                 3.9531,                 2.6931,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.4503,                 2.8517,                  1.863,                0.00333,                      1,                0.70126,                0.49864,                0.94293,                 3.4382,                 1.7735,             0.00017982,             0.00017982,             0.00017982
                      3,                0.72406,                 1.9484,                 1.2556,                0.00333,                      1,                0.85793,                0.68441,                0.64991,                 3.0528,                 1.2148,             0.00027945,             0.00027945,             0.00027945
                      4,                0.59074,                 1.3096,                 1.1346,                0.22423,                      1,                0.80633,                0.56281,                0.81567,                 3.2244,                 1.3957,             0.00037887,             0.00037887,             0.00037887
                      5,                0.57361,                 1.1366,                 1.1321,                0.94857,                    0.5,                0.82402,                0.57601,                0.86374,                 3.0439,                 1.4803,              0.0004781,              0.0004781,              0.0004781
                      6,                0.65748,                   1.16,                 1.1651,                0.78956,                0.42857,                0.78637,                0.43976,                0.95657,                 3.0957,                 1.6193,             0.00057713,             0.00057713,             0.00057713
                      7,                0.50703,                0.97255,                 1.0231,                0.97583,                0.92857,                0.98265,                0.54583,                 1.3666,                 2.4788,                 2.3581,             0.00067596,             0.00067596,             0.00067596
                      8,                0.52997,                0.96554,                 1.0542,                0.97433,                0.92857,                0.98625,                0.77063,                0.75001,                 2.2797,                 1.3435,             0.00077459,             0.00077459,             0.00077459
                      9,                0.53801,                0.90975,                 1.0754,                0.87298,                      1,                0.92125,                0.74274,                0.57422,                 2.3866,                 1.1872,             0.00087303,             0.00087303,             0.00087303
                     10,                0.59508,                 1.0076,                 1.1116,                0.93281,                0.99216,                0.98567,                0.82224,                0.60424,                 2.0222,                 1.3791,             0.00097127,             0.00097127,             0.00097127
                     11,                0.63057,                 1.0497,                 1.1469,                0.98707,                0.92857,                0.95382,                0.75081,                0.80547,                 2.4278,                 1.5566,              0.0010693,              0.0010693,              0.0010693
                     12,                0.52802,                0.93421,                 1.0917,                0.90769,                0.92857,                0.89871,                0.70287,                0.82189,                 2.0996,                  1.473,              0.0011671,              0.0011671,              0.0011671
