                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7758,                 3.4801,                 1.4484,                  0.015,                0.51136,                0.01442,                0.00647,                 1.6326,                 3.4146,                  1.401,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.3904,                 3.1373,                 1.2502,                  0.029,                0.98864,                0.20098,                0.10377,                0.98362,                 3.0841,                0.98753,             0.00017955,             0.00017955,             0.00017955
                      3,                 1.1109,                 2.0308,                 1.0369,                0.84557,                0.27273,                0.52842,                0.29618,                0.93677,                 2.5086,                0.93073,             0.00027861,             0.00027861,             0.00027861
                      4,                0.97971,                 1.2182,                0.98715,                0.91951,                0.38951,                0.84439,                0.51681,                0.89392,                 2.2697,                0.93349,             0.00037718,             0.00037718,             0.00037718
                      5,                0.98854,                 1.1457,                0.99484,                      1,                0.42497,                0.93099,                0.63414,                0.94128,                 2.2126,                0.95179,             0.00047525,             0.00047525,             0.00047525
                      6,                 0.9808,                 1.0661,                0.98386,                0.98292,                0.65381,                 0.9537,                0.69828,                0.89227,                 1.9529,                0.93013,             0.00057282,             0.00057282,             0.00057282
                      7,                0.92295,                 1.0091,                0.95028,                 0.9438,                0.82955,                0.95745,                0.66823,                0.96148,                 1.7233,                0.93785,              0.0006699,              0.0006699,              0.0006699
                      8,                0.93886,                0.93263,                0.96917,                0.93845,                0.86635,                 0.9563,                0.67666,                0.90093,                 1.5406,                0.91378,             0.00076649,             0.00076649,             0.00076649
                      9,                0.88874,                0.86755,                0.95534,                0.98701,                0.93182,                0.97258,                 0.7086,                0.90215,                 1.3516,                 0.9173,             0.00086258,             0.00086258,             0.00086258
                     10,                0.92156,                0.86339,                0.95561,                0.97417,                0.85722,                0.96284,                0.69216,                 0.9332,                 1.5182,                0.91032,             0.00095817,             0.00095817,             0.00095817
                     11,                0.92478,                0.86981,                0.96293,                0.98488,                0.77273,                0.93218,                0.65639,                 0.9508,                  1.797,                0.95353,              0.0010533,              0.0010533,              0.0010533
                     12,                0.95515,                0.84608,                0.96617,                0.92951,                0.89903,                0.94198,                0.71914,                0.88296,                 1.3585,                0.89862,              0.0011479,              0.0011479,              0.0011479
                     13,                0.87202,                0.79461,                0.92547,                0.94361,                0.89773,                0.95398,                0.74061,                0.84093,                 1.2671,                 0.8895,               0.001242,               0.001242,               0.001242
                     14,                 0.9344,                0.82511,                  0.938,                0.91125,                0.93348,                0.96775,                0.68017,                0.96512,                 1.2542,                0.90884,              0.0013356,              0.0013356,              0.0013356
                     15,                0.91111,                0.81034,                 0.9373,                0.98745,                0.89439,                0.97248,                0.73756,                0.88189,                 1.1758,                0.92894,              0.0014287,              0.0014287,              0.0014287
                     16,                0.92742,                0.79316,                0.95221,                0.98744,                0.89377,                0.96602,                 0.7179,                 0.9147,                 1.1802,                0.93418,              0.0015213,              0.0015213,              0.0015213
                     17,                0.90462,                0.73593,                0.92611,                0.95292,                0.92045,                0.96588,                0.69466,                0.93413,                 1.2993,                0.95816,              0.0016135,              0.0016135,              0.0016135
                     18,                0.92185,                0.80386,                 0.9642,                0.98732,                0.88459,                0.96486,                0.70044,                0.95941,                 1.4188,                0.97561,              0.0017051,              0.0017051,              0.0017051
                     19,                0.91377,                0.76928,                0.96789,                0.96948,                0.72202,                0.90246,                0.63483,                0.98042,                 1.7289,                0.98917,              0.0017962,              0.0017962,              0.0017962
                     20,                0.92638,                0.74588,                0.95938,                0.35046,                0.43182,                0.31417,                0.21283,                 1.0652,                 2.2807,                 1.1053,              0.0018869,              0.0018869,              0.0018869
                     21,                0.92142,                0.77052,                0.95271,                0.52938,                 0.3835,                0.42022,                0.28583,                 1.1251,                 2.2174,                 1.1438,               0.001901,               0.001901,               0.001901
                     22,                0.88456,                0.70595,                0.93777,                0.86535,                0.43826,                0.61257,                0.37471,                 1.1519,                  2.184,                  1.151,               0.001901,               0.001901,               0.001901
                     23,                0.88776,                0.72592,                0.94909,                0.90996,                0.57426,                0.74722,                0.49251,                 1.1172,                 1.8754,                 1.1087,              0.0018961,              0.0018961,              0.0018961
                     24,                 0.8656,                0.72237,                0.94684,                0.90787,                0.67189,                0.81523,                0.59572,                 1.0674,                 1.5991,                 1.0701,              0.0018911,              0.0018911,              0.0018911
                     25,                0.90585,                0.73227,                0.93507,                0.91661,                0.76136,                0.89024,                0.63181,                 1.0163,                 1.4207,                 1.0307,              0.0018862,              0.0018862,              0.0018862
                     26,                0.89009,                0.73838,                0.94872,                0.92423,                  0.875,                0.93961,                0.68568,                0.96595,                 1.2583,                0.99777,              0.0018812,              0.0018812,              0.0018812
                     27,                0.85304,                0.68216,                0.92926,                0.97683,                0.95813,                0.98261,                0.73218,                0.92392,                0.94894,                 1.0055,              0.0018763,              0.0018763,              0.0018763
                     28,                0.88659,                0.68601,                0.94591,                0.97734,                0.98015,                0.99445,                0.76287,                 0.8337,                0.73828,                0.94557,              0.0018713,              0.0018713,              0.0018713
                     29,                0.86675,                0.65559,                0.92833,                0.98487,                0.97727,                 0.9939,                0.78974,                0.79606,                0.68165,                 0.9311,              0.0018663,              0.0018663,              0.0018663
                     30,                0.86103,                 0.6445,                0.93673,                 0.9669,                0.99599,                0.99188,                0.78062,                0.83296,                0.66755,                0.93815,              0.0018614,              0.0018614,              0.0018614
                     31,                0.86546,                0.63918,                0.92871,                0.97378,                0.98864,                0.99271,                0.74256,                0.88874,                0.69542,                0.94923,              0.0018564,              0.0018564,              0.0018564
                     32,                0.88469,                 0.6734,                0.95345,                0.98862,                0.98727,                0.99381,                0.73746,                0.85522,                0.74996,                0.93264,              0.0018515,              0.0018515,              0.0018515
                     33,                0.87718,                0.64395,                0.93278,                0.96533,                0.94919,                0.97552,                0.73018,                0.81083,                 0.7506,                0.92025,              0.0018465,              0.0018465,              0.0018465
                     34,                0.87249,                0.63646,                 0.9305,                0.95394,                0.94136,                0.95981,                0.72293,                0.85929,                0.72485,                0.94295,              0.0018416,              0.0018416,              0.0018416
                     35,                0.88998,                0.65365,                0.93879,                0.94375,                0.95336,                0.96259,                0.72511,                0.87291,                0.74567,                 0.9487,              0.0018367,              0.0018367,              0.0018367
                     36,                0.86456,                 0.6451,                0.93464,                0.93405,                 0.9656,                0.98214,                0.75085,                0.81041,                  0.731,                0.91629,              0.0018317,              0.0018317,              0.0018317
                     37,                0.88435,                0.62427,                 0.9338,                0.95965,                0.96591,                0.98464,                0.76049,                0.82216,                0.67901,                0.93282,              0.0018267,              0.0018267,              0.0018267
                     38,                0.86637,                0.62536,                0.92617,                0.95192,                0.95455,                 0.9883,                0.74767,                0.84591,                0.64873,                0.93442,              0.0018218,              0.0018218,              0.0018218
                     39,                0.83999,                0.60953,                0.93214,                0.97595,                0.92229,                0.98865,                0.75606,                0.82182,                0.64681,                0.93504,              0.0018168,              0.0018168,              0.0018168
                     40,                0.81992,                0.62363,                0.93046,                0.97679,                0.96591,                0.98928,                0.75249,                0.88493,                0.62755,                0.96581,              0.0018119,              0.0018119,              0.0018119
                     41,                0.88208,                0.63402,                0.95616,                0.95213,                0.96591,                0.98922,                 0.7489,                0.86479,                0.65775,                0.97746,              0.0018069,              0.0018069,              0.0018069
                     42,                0.83025,                 0.6457,                0.93976,                0.95551,                0.97619,                0.96458,                0.71637,                0.86622,                0.68967,                 0.9714,               0.001802,               0.001802,               0.001802
                     43,                0.88823,                0.64671,                0.94931,                0.96603,                0.97727,                0.98571,                0.73635,                0.88764,                0.66275,                0.96007,              0.0017971,              0.0017971,              0.0017971
                     44,                0.86848,                0.61114,                0.93052,                0.96224,                0.95455,                0.97894,                 0.7469,                0.86122,                0.69301,                0.94846,              0.0017921,              0.0017921,              0.0017921
                     45,                0.82988,                0.61409,                0.90665,                 0.9401,                0.94318,                0.96546,                 0.7459,                0.82689,                0.73633,                0.93697,              0.0017872,              0.0017872,              0.0017872
                     46,                0.87487,                0.60073,                 0.9287,                0.94147,                0.90909,                0.96174,                0.69463,                0.89735,                0.79279,                0.97423,              0.0017822,              0.0017822,              0.0017822
                     47,                0.83211,                0.60123,                0.93708,                0.94346,                0.92045,                0.96764,                0.68606,                0.91135,                 0.7525,                0.97907,              0.0017772,              0.0017772,              0.0017772
