                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1241,                  3.024,                 1.8575,                 0.0264,                 0.9966,                0.39595,                0.21725,                 1.3032,                 2.7095,                 1.2699,                0.00014,                0.00014,                0.00014
                      2,                 1.2276,                 2.1809,                 1.2715,                0.81766,                0.79314,                 0.8652,                0.58249,                0.99378,                 1.6888,                 1.0518,              0.0002997,              0.0002997,              0.0002997
                      3,                 1.0385,                 1.3055,                 1.1291,                0.67526,                0.79932,                0.76767,                0.46549,                 1.0943,                 1.5999,                 1.1692,             0.00045909,             0.00045909,             0.00045909
                      4,                0.96861,                 1.0948,                 1.0889,                0.88572,                0.84014,                0.92886,                0.67597,                0.94308,                   1.34,                 1.0232,             0.00061816,             0.00061816,             0.00061816
                      5,                0.91459,                0.91993,                 1.0638,                0.89496,                0.84045,                0.94572,                0.67924,                 1.0397,                 1.0562,                 1.0551,             0.00077691,             0.00077691,             0.00077691
                      6,                0.93036,                0.84493,                  1.058,                0.76165,                0.83333,                0.90368,                0.67894,                0.96902,                 1.0999,                  1.123,             0.00093535,             0.00093535,             0.00093535
                      7,                0.92594,                0.84898,                 1.0462,                0.85317,                0.88939,                0.93325,                0.67823,                 0.9913,                 1.0534,                 1.0987,              0.0010935,              0.0010935,              0.0010935
                      8,                0.91559,                0.81786,                 1.0457,                 0.7171,                0.67347,                0.72141,                0.44839,                 1.2462,                 1.5513,                 1.2947,              0.0012513,              0.0012513,              0.0012513
                      9,                0.90012,                0.81643,                 1.0385,                0.90942,                0.90816,                0.95606,                0.67847,                 1.0887,                0.87629,                 1.1399,              0.0014088,              0.0014088,              0.0014088
                     10,                0.91626,                0.76636,                  1.046,                0.93087,                0.96939,                0.96862,                0.70331,                0.96856,                0.81681,                 1.1164,              0.0015659,              0.0015659,              0.0015659
                     11,                0.92762,                0.77431,                 1.0437,                0.94286,                0.95416,                0.98067,                0.69498,                 1.1104,                0.87802,                 1.1695,              0.0017228,              0.0017228,              0.0017228
                     12,                0.92019,                0.76117,                 1.0539,                0.89247,                0.93158,                0.93677,                0.67041,                 1.0796,                0.88278,                 1.1007,              0.0018793,              0.0018793,              0.0018793
                     13,                0.91627,                0.75472,                 1.0453,                0.90994,                0.96223,                0.97087,                0.69392,                 1.0284,                0.83318,                 1.0945,              0.0019762,              0.0019762,              0.0019762
                     14,                0.91119,                0.71416,                  1.047,                0.93488,                0.92776,                0.96133,                0.70758,                0.94618,                0.76661,                 1.0897,              0.0019762,              0.0019762,              0.0019762
                     15,                0.90898,                0.70792,                 1.0268,                0.92643,                0.95918,                0.96458,                0.69523,                0.95113,                0.81195,                 1.0818,              0.0019743,              0.0019743,              0.0019743
                     16,                0.87799,                0.68485,                 1.0304,                0.90794,                0.94218,                0.95365,                0.70531,                0.98853,                 0.7752,                 1.1536,              0.0019723,              0.0019723,              0.0019723
                     17,                0.86299,                0.66675,                 1.0188,                0.90841,                0.93197,                0.95835,                0.67686,                0.98647,                 0.7928,                 1.1517,              0.0019703,              0.0019703,              0.0019703
                     18,                0.88448,                 0.6742,                 1.0424,                0.94706,                0.98639,                0.98781,                0.75491,                0.99986,                0.71316,                 1.0812,              0.0019683,              0.0019683,              0.0019683
                     19,                0.91502,                0.67116,                 1.0209,                0.93451,                 0.9932,                0.96891,                0.73835,                0.88797,                0.67432,                 1.0575,              0.0019663,              0.0019663,              0.0019663
                     20,                0.88744,                0.64265,                 1.0198,                0.92519,                0.88435,                0.95566,                0.69151,                 0.9818,                0.74824,                 1.1109,              0.0019644,              0.0019644,              0.0019644
                     21,                0.84769,                0.62795,                 1.0057,                0.99187,                0.98639,                0.99251,                0.75806,                0.88523,                 0.5563,                 1.0641,              0.0019624,              0.0019624,              0.0019624
                     22,                 0.8381,                0.60248,                 1.0077,                0.97737,                      1,                0.99212,                0.75742,                0.95737,                0.57116,                 1.0656,              0.0019604,              0.0019604,              0.0019604
                     23,                0.85431,                0.59009,                 1.0159,                0.98935,                      1,                 0.9939,                0.78519,                0.91517,                0.57939,                 1.0727,              0.0019584,              0.0019584,              0.0019584
                     24,                0.81368,                0.59146,                 1.0205,                0.95603,                0.97619,                0.98698,                0.76781,                0.90959,                0.64358,                 1.0762,              0.0019564,              0.0019564,              0.0019564
                     25,                0.83964,                0.60283,                 1.0217,                 0.9865,                0.99449,                0.99043,                0.77053,                0.91093,                0.54995,                 1.0466,              0.0019545,              0.0019545,              0.0019545
                     26,                0.82897,                0.58716,                 1.0174,                0.98316,                0.99263,                0.99361,                0.76745,                0.88787,                0.53242,                 1.0556,              0.0019525,              0.0019525,              0.0019525
                     27,                0.83316,                0.57973,                 1.0068,                0.99039,                 0.9898,                0.99305,                0.77313,                0.89281,                0.55262,                 1.0578,              0.0019505,              0.0019505,              0.0019505
                     28,                0.83656,                0.56807,                 1.0092,                0.98925,                 0.9932,                0.99342,                0.79026,                0.90259,                0.53574,                 1.0576,              0.0019485,              0.0019485,              0.0019485
                     29,                0.81004,                0.56473,                 1.0029,                0.96798,                0.97619,                0.99166,                0.77275,                0.89474,                0.57342,                 1.0446,              0.0019465,              0.0019465,              0.0019465
